[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_reservation_order [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_sms [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_storehouse_item [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_finance [ RunTime:0.003001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_city [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM tp_xieche.xc_package [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_dphome_linshi` [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_interface_log` [ RunTime:0.003000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_city` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_item_city` [ RunTime:0.002001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_item_area` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_business_source` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_coupon` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_coupon_code` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_coupon_code` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_city` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_technician_group` [ RunTime:0.002001s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_changeamount` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_carbrand` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_carseries` [ RunTime:0.001000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_carmodel` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_item_oil` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | SQL: SHOW COLUMNS FROM `xc_new_item_filter` [ RunTime:0.002000s ]
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined variable: asc CarserviceorderAction.class.php 第 1496 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: id CarserviceorderAction.class.php 第 1521 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: mobile CarserviceorderAction.class.php 第 1524 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: city_id CarserviceorderAction.class.php 第 1527 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: licenseplate CarserviceorderAction.class.php 第 1530 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: technician_id CarserviceorderAction.class.php 第 1534 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: address CarserviceorderAction.class.php 第 1537 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined variable: map CarserviceorderAction.class.php 第 1541 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined variable: map CarserviceorderAction.class.php 第 1542 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: customer_id CarserviceorderAction.class.php 第 1545 行.
[ 2017-03-24T16:15:14+08:00 ] /admin/index.php/Carservice/Carserviceorder/index | NOTIC: [8] Undefined index: order_type CarserviceorderAction.class.php 第 1549 行.
